precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,rate,seed,clean_f1,clean_roc_auc,abs_f1_drop,abs_auc_drop
0.7165221579961464,0.7587350165774037,0.7370246500681283,0.7141990291262136,0.5222679937255951,5569,3921,1648,0.5683751358752844,0.7581000091765195,1,10,Logistic Regression,missing_20pct,0.2,42,0.8250753985351141,0.6951316102242592,0.0880507484669858,0.12675647434897475
0.7171149144254279,0.7480234634021933,0.732243165647235,0.7020631067961165,0.5229801783030383,5569,3921,1648,0.5633368400918133,0.7552486215895351,1,10,Logistic Regression,missing_20pct,0.2,43,0.8250753985351141,0.6951316102242592,0.09283223288787912,0.1317947701324459
0.717296511627907,0.7551644988523336,0.7357435706298919,0.7081310679611651,0.5235167154455843,5569,3921,1648,0.5731061647142719,0.7628112365405083,1,10,Logistic Regression,missing_20pct,0.2,44,0.8250753985351141,0.6951316102242592,0.0893318279052222,0.12202544550998728
0.7151413512218495,0.7612853863810253,0.7374922791846819,0.7214805825242718,0.5199024019283767,5569,3921,1648,0.5690956772469873,0.760569809499498,1,10,Logistic Regression,missing_20pct,0.2,45,0.8250753985351141,0.6951316102242592,0.08758311935043228,0.1260359329772719
0.7116032739528165,0.7538893139505228,0.7321362229102167,0.7269417475728155,0.5134737831888536,5569,3921,1648,0.5549060727276329,0.7477919628448189,1,10,Logistic Regression,missing_20pct,0.2,46,0.8250753985351141,0.6951316102242592,0.0929391756248974,0.14022553749662625
0.7141098251662152,0.7396072430502423,0.726634928589326,0.7044902912621359,0.5175584758940532,5569,3921,1648,0.5531223614195903,0.7494776697879365,1,10,Logistic Regression,missing_30pct,0.3,42,0.8250753985351141,0.6951316102242592,0.09844046994578814,0.14200924880466892
0.7168584292146073,0.7309359857179291,0.723828766258366,0.6868932038834952,0.522021390917217,5569,3921,1648,0.5549032097518217,0.7506797492245926,1,10,Logistic Regression,missing_30pct,0.3,43,0.8250753985351141,0.6951316102242592,0.10124663227674813,0.14022840047243745
0.7152864648486364,0.7291507268553941,0.7221520586006567,0.6905339805825242,0.5193083731364349,5569,3921,1648,0.5558958112033041,0.7493906890912561,1,10,Logistic Regression,missing_30pct,0.3,44,0.8250753985351141,0.6951316102242592,0.10292333993445746,0.13923579902095506
0.7105590062111802,0.7294057638357562,0.7198590485779008,0.7069174757281553,0.5112441440538005,5569,3921,1648,0.5546342447810273,0.7496708261199749,1,10,Logistic Regression,missing_30pct,0.3,45,0.8250753985351141,0.6951316102242592,0.1052163499572133,0.14049736544323188
0.7133726647000983,0.7401173170109666,0.726498936037051,0.7075242718446602,0.5162965225831532,5569,3921,1648,0.5459651540250036,0.7402305925347079,1,10,Logistic Regression,missing_30pct,0.3,46,0.8250753985351141,0.6951316102242592,0.09857646249806318,0.14916645619925561
0.7455135135135135,0.8793675082887019,0.8069272174116546,0.7141990291262136,0.5825842395812442,5569,3921,1648,0.6811465924088118,0.8332354223295984,1,10,Random Forest,missing_5pct,0.05,42,0.799905112086348,0.682168287884753,-0.007022105325306671,0.00102169547594122
0.7463011314186249,0.8747768426421831,0.8054479276740636,0.7075242718446602,0.5836262853987615,5569,3921,1648,0.6853656902216841,0.8381712066512024,1,10,Random Forest,missing_5pct,0.05,43,0.799905112086348,0.682168287884753,-0.005542815587715633,-0.00319740233693111
0.7445793581960104,0.8757969905636317,0.8048751904371264,0.7148058252427184,0.5804955826604566,5569,3921,1648,0.6815747233591589,0.8323165828553679,1,10,Random Forest,missing_5pct,0.05,44,0.799905112086348,0.682168287884753,-0.004970078350778451,0.0005935645255941147
0.7434735706580367,0.8788574343279776,0.8055165965404395,0.7214805825242718,0.5786884259018529,5569,3921,1648,0.6803706485862779,0.833879439274142,1,10,Random Forest,missing_5pct,0.05,45,0.799905112086348,0.682168287884753,-0.005611484454091542,0.0017976392984750955
0.7439050701186624,0.8793675082887019,0.8059841047218327,0.7202669902912622,0.5795502589987199,5569,3921,1648,0.677411801774364,0.8301810297943725,1,10,Random Forest,missing_5pct,0.05,46,0.799905112086348,0.682168287884753,-0.006078992635484726,0.0047564861103890355
0.7422484707867538,0.8974751338944147,0.8125144308473794,0.741504854368932,0.5779851397627414,5569,3921,1648,0.6793248886379788,0.8288805230396805,1,10,Random Forest,missing_10pct,0.1,42,0.799905112086348,0.682168287884753,-0.01260931876103144,0.0028433992467742364
0.7404515720616164,0.8949247640907931,0.810392609699769,0.7463592233009708,0.5742827703949112,5569,3921,1648,0.6814140872028386,0.8335402368536993,1,10,Random Forest,missing_10pct,0.1,43,0.799905112086348,0.682168287884753,-0.010487497613421048,0.000754200681914452
0.7415138098250053,0.8969650599336904,0.811865189289012,0.7439320388349514,0.5765165105493695,5569,3921,1648,0.6850339719162191,0.8314310696199538,1,10,Random Forest,missing_10pct,0.1,44,0.799905112086348,0.682168287884753,-0.01196007720266401,-0.0028656840314660315
