feature,permutation_importance,shap_abs_Random Forest,shap_signed_Random Forest,shap_abs_XGBoost,shap_signed_XGBoost,rank_shap_abs_Random Forest,rank_shap_abs_XGBoost,permutation_rank,relay,signal_family,physical_description
R3-PA4:IH,0.007321110576288659,0.00229248580625229,0.0008718388681267098,0.039359014,-0.020466302,61.0,52.0,13.0,R3,phase A-C current phase angles,phase A-C current phase angles
R1:F,0.006670500291042591,0.0010441222021078385,-1.0066971407697543e-05,0.04876108,-0.0005207458,86.0,36.0,14.0,R1,frequency,frequency
R2:F,0.006371528429141992,0.0010894335239687767,-0.0002524044731327115,0.046426207,0.008123377,85.0,39.0,15.0,R2,frequency,frequency
R2-PM11:I,0.005860972012490473,0.0025199479082729887,0.0008981826525603062,0.015050475,0.0025626456,50.0,92.0,16.0,R2,sequence current angles,sequence current angles
R2-PA3:VH,0.005346133873184144,0.0032715244545458775,9.758922591630742e-05,0.08102056,-0.058719892,25.0,18.0,17.0,R2,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PA10:IH,0.0047106931006913435,0.0024656271693638838,0.0003879102623629798,0.02745423,-0.0035437339,53.0,73.0,18.0,R2,sequence current angles,sequence current angles
R3-PA3:VH,0.00463939393610453,0.002864078254280286,0.00015383593724073257,0.03609325,-0.015642233,34.0,60.0,19.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R4:F,0.004481697820462127,0.0018293887865911843,-0.0004520569036725978,0.03736539,-0.026823396,78.0,56.0,20.0,R4,frequency,frequency
R1-PM7:V,0.004334480443584155,0.003706604089843675,-0.0002959847595215028,0.109066255,-0.10109902,21.0,10.0,21.0,R1,sequence voltage angles,sequence voltage angles
R4-PA10:IH,0.004002544431683875,0.0018690857791041906,6.168447613844502e-05,0.020155083,-0.0033752378,77.0,86.0,22.0,R4,sequence current angles,sequence current angles
R1-PM4:I,0.003882450982541841,0.0023901335659737505,-0.0011949935658334332,0.034224585,0.011815833,55.0,63.0,23.0,R1,phase A-C current phase angles,phase A-C current phase angles
R3-PA7:VH,0.0036976725562156585,0.002631883459403419,0.0003848422895191464,0.02775456,-0.025525782,45.0,72.0,24.0,R3,sequence voltage angles,sequence voltage angles
R3-PA11:IH,0.003663667161707196,0.0008523965648530471,-5.553426320811169e-05,0.018917168,0.0006489785,92.0,88.0,25.0,R3,sequence current angles,sequence current angles
R3-PM5:I,0.0036600113011802772,0.0037073241552851932,-0.0009483610705518701,0.081711866,-0.013041343,20.0,17.0,26.0,R3,phase A-C current phase angles,phase A-C current phase angles
R3-PA2:VH,0.003393197741855136,0.002989925315961791,-0.0003184458442080057,0.038518153,0.0050393157,27.0,55.0,27.0,R3,phase A-C voltage phase angles,phase A-C voltage phase angles
R4:S,0.0033413495131564665,0.00020066801822855382,-6.494641353195027e-05,0.007163114,-0.007114324,105.0,97.0,28.0,R4,relay status,relay status flag
R2-PA11:IH,0.0033380204852068718,0.0010393868417228958,-2.852841495863999e-05,0.021158667,-0.004795905,88.0,84.0,29.0,R2,sequence current angles,sequence current angles
R1-PM5:I,0.0026761133268074166,0.0037078154988550117,-3.2775625630642836e-05,0.08788124,-0.009749177,19.0,16.0,30.0,R1,phase A-C current phase angles,phase A-C current phase angles
R2-PA:ZH,0.002637674840789017,0.0051279512733246515,-2.9265878931854854e-05,0.18300144,0.009452161,14.0,5.0,31.0,R2,impedance,apparent impedance
R1-PA6:IH,0.0025839343153736594,0.0022264226526368686,0.000239794144169333,0.03977003,-0.0152128665,66.0,50.0,32.0,R1,phase A-C current phase angles,phase A-C current phase angles
relay4_log,0.0025374573391898636,0.0007689066443752315,0.0004674490091012175,0.0018158593,0.0018158593,95.0,102.0,33.0,System log,log,"control-panel, Snort, or relay-log measurement"
R3-PM4:I,0.0024381086416062625,0.002753245713942722,-0.001451132253214951,0.028829686,0.0031490638,40.0,70.0,34.0,R3,phase A-C current phase angles,phase A-C current phase angles
R4-PM1:V,0.0024256261371247145,0.00805209183426474,0.00023330199410516263,0.05890928,0.006819544,9.0,30.0,35.0,R4,phase A-C voltage phase angles,phase A-C voltage phase angles
R2-PA7:VH,0.002325349562271717,0.0022803010721010367,0.00023110609555460085,0.021489587,0.007245427,62.0,83.0,36.0,R2,sequence voltage angles,sequence voltage angles
R4-PA:Z,0.0022846115100213283,0.0028120464138687968,1.8595788469847902e-06,0.06906171,-0.033166446,37.0,25.0,37.0,R4,impedance,apparent impedance
R1-PM11:I,0.0021031290545837746,0.0016706338027363656,7.112369344236015e-05,0.018185979,0.0052267946,79.0,90.0,38.0,R1,sequence current angles,sequence current angles
