precision,recall,f1,fpr,balanced_accuracy,n_test,n_attack,n_normal,roc_auc,pr_auc,fold_id,held_out_run,model,condition,feature_budget,placement,threshold_rule,seed,train_time_sec
0.7417702999268471,0.8907759882869692,0.8094731240021288,0.569048898441698,0.6608635449226357,5276,3415,1861,0.7800221546847009,0.8665103458035288,5,15,Random Forest,clean,16,central,fixed_0.5,42,6.0175795419999645
0.7240786240786241,0.8629575402635432,0.7874415497661991,0.6034390112842558,0.6297592644896437,5276,3415,1861,0.7501514087027944,0.860049039125788,5,15,XGBoost,clean,16,central,fixed_0.5,42,0.6129770829999757
0.7033673017279575,0.9297218155197657,0.8008576113002901,0.7195056421278883,0.6051080866959387,5276,3415,1861,0.739824383213106,0.8521739607651235,5,15,Compact MLP,clean,16,central,fixed_0.5,42,2.4365320420000103
0.7851239669421488,0.9919864011656144,0.8765153953438473,0.9696444058976583,0.5111709976339781,5271,4118,1153,0.6423545309299348,0.8808631466530014,6,13,Logistic Regression,clean,64,central,fixed_0.5,42,2.6321971670000153
0.8183125599232982,0.82904322486644,0.823642943305187,0.6574154379878577,0.5858138934392911,5271,4118,1153,0.6510749456514184,0.8642507193953023,6,13,Random Forest,clean,64,central,fixed_0.5,42,12.368115458000034
0.8203928905519177,0.8518698397280233,0.835835120324041,0.6660884648742411,0.5928906874268911,5271,4118,1153,0.6915237274049536,0.8981479444925141,6,13,XGBoost,clean,64,central,fixed_0.5,42,1.325195167000004
0.8069915254237288,0.9249635745507528,0.861959719393528,0.790112749349523,0.567425412600615,5271,4118,1153,0.6771641603065172,0.8930610736562572,6,13,Compact MLP,clean,64,central,fixed_0.5,42,3.060705832999986
0.7858651814864606,0.9936862554638174,0.8776407506702413,0.9670424978317432,0.5133218788160371,5271,4118,1153,0.6044737486136426,0.8380867414371649,6,13,Logistic Regression,clean,32,central,fixed_0.5,42,0.3671849169999746
0.8213523131672598,0.8406993686255464,0.8309132365294611,0.6530789245446661,0.5938102220404402,5271,4118,1153,0.6513673812471383,0.8638555139266222,6,13,Random Forest,clean,32,central,fixed_0.5,42,8.21150320800001
0.8163950143815916,0.8271005342399222,0.8217129071170084,0.6643538594969645,0.5813733373714789,5271,4118,1153,0.6655998436412054,0.8884021861287221,6,13,XGBoost,clean,32,central,fixed_0.5,42,0.8429825420000157
0.809277238403452,0.9108790675084992,0.8570775734034045,0.766695576756288,0.5720917453761056,5271,4118,1153,0.6715909296735041,0.8889260424947762,6,13,Compact MLP,clean,32,central,fixed_0.5,42,3.85317758299999
0.7814708691499522,0.9934434191355027,0.8747995295627071,0.9921942758022549,0.5006245716666239,5271,4118,1153,0.6275292993719112,0.848775254796353,6,13,Logistic Regression,clean,16,central,fixed_0.5,42,0.13540287500001114
0.8260381593714927,0.8936376881981545,0.858509273299895,0.6721595836947094,0.6107390522517225,5271,4118,1153,0.7314392380541586,0.9076668404509632,6,13,Random Forest,clean,16,central,fixed_0.5,42,5.755282375000036
0.8200138985406532,0.8596406022340942,0.8393598103141672,0.6738941890719862,0.592873206581054,5271,4118,1153,0.7038341392073468,0.9020243828750553,6,13,XGBoost,clean,16,central,fixed_0.5,42,0.5447520000000168
0.8119390523898977,0.9446333171442448,0.8732742170838478,0.7814397224631396,0.5815967973405526,5271,4118,1153,0.7118183575839703,0.9039674982122493,6,13,Compact MLP,clean,16,central,fixed_0.5,42,2.2151115419999883
0.7573783058643159,0.9957168052406148,0.8603461412866006,0.9875195007800313,0.5040986522302918,5251,3969,1282,0.712911373597801,0.8825088031125814,7,11,Logistic Regression,clean,64,central,fixed_0.5,42,2.4127584999999954
0.7958620689655173,0.872260015117158,0.8323115759105661,0.6926677067082684,0.5897961542044449,5251,3969,1282,0.6586937022454443,0.8509436724976088,7,11,Random Forest,clean,64,central,fixed_0.5,42,14.43103066599997
0.7888703128731789,0.8321995464852607,0.8099558607160373,0.6895475819032761,0.5713259822909923,5251,3969,1282,0.6538095159482872,0.8669462486800894,7,11,XGBoost,clean,64,central,fixed_0.5,42,1.6287602909999919
0.7744107744107744,0.927185689090451,0.8439399151473455,0.8361934477379095,0.5454961206762707,5251,3969,1282,0.6567705489776658,0.8584317778467563,7,11,Compact MLP,clean,64,central,fixed_0.5,42,3.5459937500000365
0.7568859984697781,0.9969765684051398,0.8604979884745025,0.9914196567862714,0.5027784558094341,5251,3969,1282,0.6998817670015945,0.8622090534502299,7,11,Logistic Regression,clean,32,central,fixed_0.5,42,0.4591367080000168
0.7947588126159555,0.8634416729654825,0.8276778166888057,0.6903276131045242,0.5865570299304792,5251,3969,1282,0.6640317766905688,0.8566841800939389,7,11,Random Forest,clean,32,central,fixed_0.5,42,18.312888292000025
0.7949342425718461,0.8223733938019653,0.8084210526315789,0.656786271450858,0.5827935611755536,5251,3969,1282,0.6684953868298344,0.8716510545137974,7,11,XGBoost,clean,32,central,fixed_0.5,42,3.6004546249999976
0.7849272807404143,0.8974552784076594,0.837428000470201,0.7613104524180967,0.5680724129947813,5251,3969,1282,0.6597599807242478,0.8683073223257481,7,11,Compact MLP,clean,32,central,fixed_0.5,42,4.417840624999997
0.7567412507171544,0.9969765684051398,0.8604044357469015,0.9921996879875195,0.5023884402088101,5251,3969,1282,0.6857586623948708,0.8526526531989436,7,11,Logistic Regression,clean,16,central,fixed_0.5,42,0.13777933300002587
0.7948139797068771,0.8881330309901738,0.838886244645407,0.7098283931357254,0.5891523189272242,5251,3969,1282,0.67320151611809,0.8631211276061179,7,11,Random Forest,clean,16,central,fixed_0.5,42,6.792847958999971
0.7905195116112043,0.8319475938523557,0.8107046403142647,0.6825273010920437,0.574710146380156,5251,3969,1282,0.6567827338943898,0.8668572126825274,7,11,XGBoost,clean,16,central,fixed_0.5,42,0.663410875000011
0.7845665961945032,0.9349962207105065,0.853201517415795,0.7948517940717629,0.5700722133193719,5251,3969,1282,0.6736555025315147,0.8757384909046915,7,11,Compact MLP,clean,16,central,fixed_0.5,42,3.2857183749999876
0.7457528957528957,0.9879795396419437,0.8499449944994499,0.9932126696832579,0.4973834349793429,5236,3910,1326,0.6865813765994299,0.8666417996491123,8,7,Logistic Regression,clean,64,central,fixed_0.5,42,3.014512833000026
0.7952980289717407,0.8565217391304348,0.8247752739810368,0.6500754147812972,0.6032231621745688,5236,3910,1326,0.7152680214324565,0.8735368505920132,8,7,Random Forest,clean,64,central,fixed_0.5,42,19.352961332999996
0.8071565802113353,0.8595907928388746,0.8325489224671786,0.6055806938159879,0.6270050495114433,5236,3910,1326,0.7330665848869549,0.8970173516677287,8,7,XGBoost,clean,64,central,fixed_0.5,42,1.4529757500000073
0.7778739987010176,0.9189258312020461,0.8425372259350451,0.7737556561085973,0.5725850875467244,5236,3910,1326,0.7077004085128051,0.8823689904217057,8,7,Compact MLP,clean,64,central,fixed_0.5,42,3.8581006659999844
0.7463292117465224,0.9879795396419437,0.8503191723530706,0.9901960784313726,0.4988917306052856,5236,3910,1326,0.6771784456454232,0.844217060529231,8,7,Logistic Regression,clean,32,central,fixed_0.5,42,0.5373362919999636
0.7979675780304863,0.8434782608695652,0.8200920054705956,0.6297134238310709,0.6068824185192472,5236,3910,1326,0.7117280593134362,0.8719631777610728,8,7,Random Forest,clean,32,central,fixed_0.5,42,18.555833166999946
0.8081854043392505,0.8383631713554988,0.8229977403966859,0.5867269984917044,0.6258180864318972,5236,3910,1326,0.733843299271312,0.8969756250354659,8,7,XGBoost,clean,32,central,fixed_0.5,42,3.5844707919999905
0.7774941501808126,0.9347826086956522,0.8489141795378005,0.7888386123680241,0.5729719981638141,5236,3910,1326,0.7134436973687763,0.8851181902681174,8,7,Compact MLP,clean,32,central,fixed_0.5,42,4.173821916999998
0.7465331278890601,0.991304347826087,0.8516809492419248,0.9924585218702866,0.4994229129779002,5236,3910,1326,0.6620661721308629,0.8277428256506336,8,7,Logistic Regression,clean,16,central,fixed_0.5,42,0.14349025000001348
0.814309643455372,0.8703324808184143,0.8413895413524539,0.5852187028657617,0.6425568889763263,5236,3910,1326,0.7543232343104466,0.9023040076885543,8,7,Random Forest,clean,16,central,fixed_0.5,42,7.985207583999966
